material_id,formula_pretty,facet,termination,site_label,site_kind,dE_Hstar_eV,dG_Hstar_eV,E_slab_eV,E_slabH_eV,E_H2_eV,slab_id,config_id,input_rel,mace_output_rel,abs_dG_Hstar_eV
mp-945,NiPt,(111),0,bridge_4,bridge,-0.6196317672728924,-0.3796317672728924,-343.8661804199219,-347.7450561523437,-6.518487930297852,mp-945_h111_t0,mp-945_h111_t0__bridge_4,ads_structures/mp-945_h111_t0/bridge_4.vasp,mace_runs/h_ads/mp-945_h111_t0__bridge_4,0.3796317672728924
mp-1184054,CuNi3,(111),1,bridge_2,bridge,-0.6200284957884605,-0.38002849578846054,-935.781982421875,-939.6612548828124,-6.518487930297852,mp-1184054_h111_t1,mp-1184054_h111_t1__bridge_2,ads_structures/mp-1184054_h111_t1/bridge_2.vasp,mace_runs/h_ads/mp-1184054_h111_t1__bridge_2,0.38002849578846054
mp-945,NiPt,(111),1,bridge_3,bridge,-0.6206083297729492,-0.3806083297729492,-342.5733642578125,-346.4532165527344,-6.518487930297852,mp-945_h111_t1,mp-945_h111_t1__bridge_3,ads_structures/mp-945_h111_t1/bridge_3.vasp,mace_runs/h_ads/mp-945_h111_t1__bridge_3,0.3806083297729492
mp-1225687,CuNi,(111),0,hollow_5,hollow,-0.6208829879760742,-0.3808829879760742,-1106.4576416015625,-1110.3377685546875,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__hollow_5,ads_structures/mp-1225687_h111_t0/hollow_5.vasp,mace_runs/h_ads/mp-1225687_h111_t0__hollow_5,0.3808829879760742
mp-12798,Ni3Pt,(111),0,hollow_1,hollow,-0.6216764450073242,-0.3816764450073242,-546.6094360351562,-550.4903564453125,-6.518487930297852,mp-12798_h111_t0,mp-12798_h111_t0__hollow_1,ads_structures/mp-12798_h111_t0/hollow_1.vasp,mace_runs/h_ads/mp-12798_h111_t0__hollow_1,0.3816764450073242
mp-945,NiPt,(111),1,bridge_1,bridge,-0.6230192184448242,-0.3830192184448242,-342.5733642578125,-346.45562744140625,-6.518487930297852,mp-945_h111_t1,mp-945_h111_t1__bridge_1,ads_structures/mp-945_h111_t1/bridge_1.vasp,mace_runs/h_ads/mp-945_h111_t1__bridge_1,0.3830192184448242
mp-644311,CuPt,(111),1,ontop_1,ontop,-0.6235685348510742,-0.3835685348510742,-1049.5762939453125,-1053.4591064453125,-6.518487930297852,mp-644311_h111_t1,mp-644311_h111_t1__ontop_1,ads_structures/mp-644311_h111_t1/ontop_1.vasp,mace_runs/h_ads/mp-644311_h111_t1__ontop_1,0.3835685348510742
mp-1184054,CuNi3,(111),1,hollow_1,hollow,-0.6239957809448242,-0.3839957809448242,-935.781982421875,-939.6652221679688,-6.518487930297852,mp-1184054_h111_t1,mp-1184054_h111_t1__hollow_1,ads_structures/mp-1184054_h111_t1/hollow_1.vasp,mace_runs/h_ads/mp-1184054_h111_t1__hollow_1,0.3839957809448242
mp-644311,CuPt,(111),0,hollow_2,hollow,-0.6256437301635742,-0.3856437301635742,-1055.9166259765625,-1059.801513671875,-6.518487930297852,mp-644311_h111_t0,mp-644311_h111_t0__hollow_2,ads_structures/mp-644311_h111_t0/hollow_2.vasp,mace_runs/h_ads/mp-644311_h111_t0__hollow_2,0.3856437301635742
mp-12798,Ni3Pt,(111),0,hollow_3,hollow,-0.6260709762573242,-0.3860709762573242,-546.6094360351562,-550.4947509765625,-6.518487930297852,mp-12798_h111_t0,mp-12798_h111_t0__hollow_3,ads_structures/mp-12798_h111_t0/hollow_3.vasp,mace_runs/h_ads/mp-12798_h111_t0__hollow_3,0.3860709762573242
mp-945,NiPt,(111),0,bridge_1,bridge,-0.6282987594604492,-0.3882987594604492,-343.8661804199219,-347.75372314453125,-6.518487930297852,mp-945_h111_t0,mp-945_h111_t0__bridge_1,ads_structures/mp-945_h111_t0/bridge_1.vasp,mace_runs/h_ads/mp-945_h111_t0__bridge_1,0.3882987594604492
mp-644311,CuPt,(111),0,hollow_5,hollow,-0.6283292770385742,-0.3883292770385742,-1055.9166259765625,-1059.80419921875,-6.518487930297852,mp-644311_h111_t0,mp-644311_h111_t0__hollow_5,ads_structures/mp-644311_h111_t0/hollow_5.vasp,mace_runs/h_ads/mp-644311_h111_t0__hollow_5,0.3883292770385742
mp-1225687,CuNi,(111),0,bridge_7,bridge,-0.6306486129760742,-0.3906486129760742,-1106.4576416015625,-1110.3475341796875,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__bridge_7,ads_structures/mp-1225687_h111_t0/bridge_7.vasp,mace_runs/h_ads/mp-1225687_h111_t0__bridge_7,0.3906486129760742
mp-945,NiPt,(111),0,ontop_0,ontop,-0.6309537887573242,-0.3909537887573242,-343.8661804199219,-347.7563781738281,-6.518487930297852,mp-945_h111_t0,mp-945_h111_t0__ontop_0,ads_structures/mp-945_h111_t0/ontop_0.vasp,mace_runs/h_ads/mp-945_h111_t0__ontop_0,0.3909537887573242
mp-644311,CuPt,(111),0,hollow_4,hollow,-0.6318693161010742,-0.3918693161010742,-1055.9166259765625,-1059.8077392578125,-6.518487930297852,mp-644311_h111_t0,mp-644311_h111_t0__hollow_4,ads_structures/mp-644311_h111_t0/hollow_4.vasp,mace_runs/h_ads/mp-644311_h111_t0__hollow_4,0.3918693161010742
